,filename,cropfile,testcenter_x,testcenter_y,,,,
0,2.3.22_SPP_Fov10_1_NDTiffStack.tif_1.png,file_0,-2,-1,,,,
1,2.3.22_SPP_Fov10_1_NDTiffStack.tif_1.png,file_1,-2,-3,,,,
2,2.3.22_SPP_Fov10_1_NDTiffStack.tif_1.png,file_2,-1,-1,,,,
3,2.3.22_SPP_Fov10_1_NDTiffStack.tif_last.png,file_3,-2,-12,,,,
4,2.3.22_SPP_Fov10_1_NDTiffStack.tif_last.png,file_4,-2,-10,,,,
5,2.3.22_SPP_Fov10_1_NDTiffStack.tif_last.png,file_5,-1,-16,,,,
6,2.3.22_SPP_Fov10_1_NDTiffStack.tif_mid.png,file_6,-6,-9,,,,testcenter_x  and testcenter_y are the errors
7,2.3.22_SPP_Fov10_1_NDTiffStack.tif_mid.png,file_7,-4,-8,,,,
8,2.3.22_SPP_Fov10_1_NDTiffStack.tif_mid.png,file_8,-5,-9,,,,
9,2.3.22_SPP_Fov1_1_NDTiffStack.tif_1.png,file_9,-3,-5,,,,
10,2.3.22_SPP_Fov1_1_NDTiffStack.tif_1.png,file_10,-3,-4,,,,
11,2.3.22_SPP_Fov1_1_NDTiffStack.tif_1.png,file_11,-2,-7,,,,
12,2.3.22_SPP_Fov1_1_NDTiffStack.tif_last.png,file_12,0,-20,,,,
13,2.3.22_SPP_Fov1_1_NDTiffStack.tif_last.png,file_13,1,-18,,,,
14,2.3.22_SPP_Fov1_1_NDTiffStack.tif_last.png,file_14,-2,-15,,,,
15,2.3.22_SPP_Fov1_1_NDTiffStack.tif_last.png,file_15,-4,-13,,,,
16,2.3.22_SPP_Fov1_1_NDTiffStack.tif_mid.png,file_16,-6,-11,,,,
17,2.3.22_SPP_Fov1_1_NDTiffStack.tif_mid.png,file_17,-7,-11,,,,
18,2.3.22_SPP_Fov1_1_NDTiffStack.tif_mid.png,file_18,-6,-11,,,,
19,2.3.22_SPP_Fov2_1_NDTiffStack.tif_1.png,file_19,-3,-1,,,,
20,2.3.22_SPP_Fov2_1_NDTiffStack.tif_1.png,file_20,-3,-4,,,,
21,2.3.22_SPP_Fov2_1_NDTiffStack.tif_1.png,file_21,-2,-4,,,,
22,2.3.22_SPP_Fov2_1_NDTiffStack.tif_last.png,file_22,-2,-19,,,,
23,2.3.22_SPP_Fov2_1_NDTiffStack.tif_last.png,file_23,-1,-12,,,,
24,2.3.22_SPP_Fov2_1_NDTiffStack.tif_last.png,file_24,-2,-11,,,,
